Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
КБ Инвест - Златен фонд,2025-09-26,25.9.2025,181.7826,181.7826,181.7826
КБ Инвест - МБИ 10,2025-09-26,25.9.2025,439.732,439.732,439.732
Иново Статус Балансиран,2025-09-26,25.9.2025,45.2973,45.2973,45.2973
Иново Статус Солар,2025-09-26,25.9.2025,64.2308,64.2308,64.2308
ВЕГА ТЕХНОЛОГИЈА,2025-09-26,25.9.2025,184.2078,184.2078,184.2078
ВЕГА ФИНАНСИИ,2025-09-26,25.9.2025,170.4729,170.4729,170.4729
Граве Глобал,2025-09-26,25.9.2025,172.746,172.746,172.746
ВФП БОНД,2025-09-26,25.9.2025,129.331,129.331,129.331
ВФП Кеш Депозит,2025-09-26,25.9.2025,122.2448,122.2448,122.2448
ВЕГА СВЕТ,2025-09-26,25.9.2025,109.6033,109.6033,109.6033
НЛБ Америка,2025-09-26,25.9.2025,181.4568,181.4568,181.4568
КБ Инвест - Балансиран,2025-09-26,25.9.2025,247.2369,247.2369,247.2369
КБ Инвест - Обврзници,2025-09-26,25.9.2025,157.2006,157.2006,157.2006
НЛБ БРИК,2025-09-26,25.9.2025,168.6911,168.6911,168.6911
НЛБ Кеш Депозит,2025-09-26,25.9.2025,134.1334,134.1334,134.1334
НЛБ Топ Брендови,2025-09-26,25.9.2025,185.2536,185.2536,185.2536
ВФП Премиум Акции,2025-09-26,25.9.2025,190.2431,190.2431,190.2431
ВФП Дивиденда Акции,2025-09-26,25.9.2025,158.0161,158.0161,158.0161
НЛБ Обврзници,2025-09-26,25.9.2025,103.7974,103.7974,103.7974
КБ Инвест Паричен,2025-09-26,25.9.2025,143.0653,143.0653,143.0653
ВФП БОНД,2025-09-25,24.9.2025,129.4088,129.4088,129.4088
КБ Инвест - Акции,2025-09-25,24.9.2025,137.7335,137.7335,137.7335
ВФП Дивиденда Акции,2025-09-25,24.9.2025,158.1992,158.1992,158.1992
Граве Глобал,2025-09-25,24.9.2025,173.0107,173.0107,173.0107
КБ Инвест - Златен фонд,2025-09-25,24.9.2025,179.9941,179.9941,179.9941
НЛБ Топ Брендови,2025-09-25,24.9.2025,185.623,185.623,185.623
ВФП Премиум Акции,2025-09-25,24.9.2025,190.8627,190.8627,190.8627
КБ Инвест - Обврзници,2025-09-25,24.9.2025,157.2254,157.2254,157.2254
КБ Инвест Паричен,2025-09-25,24.9.2025,143.0557,143.0557,143.0557
Иново Статус Балансиран,2025-09-25,24.9.2025,45.3182,45.3182,45.3182
ВЕГА СВЕТ,2025-09-25,24.9.2025,110.0427,110.0427,110.0427
